Player	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Malcolm Brogdon	28	26.4	3.9	8.5	0.457	1	2.6	0.404	2.8	5.9	0.48	0.518	1.5	1.7	0.865	0.6	2.2	2.8	4.2	1.1	0.2	1.5	1.9	10.2
Draymond Green	76	32.5	3.6	8.6	0.418	1.1	3.5	0.308	2.5	5.1	0.494	0.481	2	2.8	0.709	1.3	6.6	7.9	7	2	1.4	2.4	2.9	10.2
Jon Leuer	34	25.9	4.1	8.6	0.48	0.7	2.2	0.293	3.5	6.4	0.545	0.518	1.3	1.5	0.867	1.4	4	5.4	1.5	0.4	0.3	0.9	1.9	10.2
Jusuf Nurkic	48	21.4	4.2	8.2	0.507	0	0	0	4.2	8.2	0.508	0.507	1.8	3.2	0.571	2.4	4.8	7.2	1.9	0.8	1.1	2.2	2.5	10.2
Josh Richardson	34	30.5	3.8	9.7	0.394	1.4	4.3	0.33	2.4	5.4	0.444	0.467	1.1	1.5	0.779	0.7	2.5	3.2	2.6	1.1	0.7	1.2	2.5	10.2
Kyle Korver	22	26.2	3.6	7.7	0.464	2.4	5.4	0.451	1.1	2.3	0.494	0.621	0.6	0.6	0.905	0.1	2.7	2.8	1.6	0.5	0.3	1	1.6	10.1
Tony Parker	63	25.2	4.2	9	0.466	0.4	1.1	0.333	3.8	7.9	0.484	0.486	1.3	1.9	0.726	0.1	1.7	1.8	4.5	0.5	0	1.4	1.5	10.1
Trevor Booker	43	24.7	4.3	8.3	0.516	0.4	1.1	0.321	3.9	7.2	0.546	0.537	1	1.5	0.673	2	6	8	1.9	1.1	0.4	1.8	2.1	10
Gorgui Dieng	82	32.4	4	8.1	0.502	0.2	0.5	0.372	3.9	7.5	0.511	0.514	1.7	2	0.814	2.3	5.6	7.9	1.9	1.1	1.2	1.3	3.1	10
Yogi Ferrell	29	26	3.5	8.6	0.406	1.5	3.8	0.386	2	4.7	0.422	0.492	1.6	1.9	0.831	0.4	2	2.4	3.7	0.9	0.2	1.5	2	10
Maurice Harkless	69	28.9	4.1	8.1	0.503	0.9	2.5	0.351	3.2	5.6	0.572	0.558	1	1.6	0.621	1.6	2.8	4.4	1.1	1.1	0.9	1.1	2.8	10
Ty Lawson	24	25.1	3.4	7.6	0.454	0.5	1.7	0.288	2.9	5.9	0.502	0.487	2.5	3.1	0.797	0.6	2	2.6	4.8	1.1	0.1	1.9	1.7	9.9
Shabazz Muhammad	1	19.4	3.7	7.7	0.482	0.6	1.9	0.338	3.1	5.8	0.528	0.523	1.9	2.4	0.774	1.1	1.7	2.8	0.4	0.3	0.1	0.7	1.1	9.9
Jamal Murray	10	21.5	3.6	8.9	0.404	1.4	4.2	0.334	2.2	4.7	0.466	0.483	1.3	1.5	0.883	0.5	2.1	2.6	2.1	0.6	0.3	1.4	1.5	9.9
Richaun Holmes	17	20.9	4	7.2	0.558	0.5	1.4	0.351	3.6	5.9	0.606	0.591	1.3	1.8	0.699	1.6	3.8	5.5	1	0.7	1	1	2.4	9.8
Jeremy Lamb	5	18.4	3.6	7.9	0.46	0.7	2.4	0.281	3	5.6	0.536	0.502	1.8	2.1	0.853	0.5	3.8	4.3	1.2	0.4	0.4	0.6	1.6	9.7
Kenneth Faried	34	21.2	3.7	6.8	0.548	0	0.1	0	3.7	6.7	0.556	0.548	2.1	3.1	0.693	3	4.6	7.6	0.9	0.7	0.7	1	2	9.6
E'Twaun Moore	22	24.9	3.9	8.5	0.457	1.1	2.8	0.37	2.8	5.6	0.501	0.519	0.8	1	0.77	0.5	1.6	2.1	2.2	0.7	0.4	0.8	1.8	9.6
Patrick Beverley	67	30.7	3.4	8.1	0.42	1.6	4.3	0.382	1.8	3.8	0.463	0.521	1.1	1.4	0.768	1.4	4.4	5.9	4.2	1.5	0.4	1.5	3.3	9.5
Derrick Favors	39	23.7	4.1	8.3	0.487	0.1	0.2	0.3	4	8.1	0.491	0.49	1.3	2.2	0.615	1.8	4.3	6.1	1.1	0.9	0.8	1.2	2.1	9.5
Patty Mills	8	21.9	3.4	7.8	0.44	1.8	4.4	0.414	1.6	3.3	0.474	0.558	0.8	1	0.825	0.3	1.5	1.8	3.5	0.8	0	1.3	1.4	9.5
Nik Stauskas	27	27.4	3.1	7.9	0.396	1.7	4.5	0.368	1.5	3.4	0.433	0.5	1.5	1.9	0.813	0.3	2.6	2.8	2.4	0.6	0.4	1.6	1.8	9.5
Michael Beasley	6	16.7	3.9	7.3	0.532	0.3	0.8	0.419	3.5	6.5	0.545	0.554	1.4	1.9	0.743	0.7	2.7	3.4	0.9	0.5	0.5	1.2	1.6	9.4
Brandon Ingram	40	28.8	3.5	8.7	0.402	0.7	2.4	0.294	2.8	6.3	0.443	0.442	1.7	2.7	0.621	0.8	3.2	4	2.1	0.6	0.5	1.5	2	9.4
Ish Smith	32	24.1	4.1	9.2	0.439	0.3	1.3	0.267	3.7	8	0.467	0.458	0.9	1.3	0.706	0.3	2.6	2.9	5.2	0.8	0.4	1.4	1.6	9.4
Cory Joseph	22	25	3.7	8.3	0.452	0.6	1.7	0.356	3.1	6.6	0.477	0.489	1.2	1.5	0.77	0.6	2.3	2.9	3.3	0.8	0.2	1.4	1.8	9.3
Marquese Chriss	75	21.3	3.5	7.7	0.449	0.9	2.7	0.321	2.6	5	0.52	0.506	1.4	2.2	0.624	1.2	3.1	4.2	0.7	0.8	0.9	1.3	3.2	9.2
Jeff Green	11	22.2	3.2	8.1	0.394	0.8	2.8	0.275	2.4	5.3	0.458	0.442	2.1	2.4	0.863	0.6	2.5	3.1	1.2	0.5	0.2	1.1	1.5	9.2
Gerald Henderson	41	23.2	3.3	7.7	0.423	0.8	2.4	0.353	2.4	5.3	0.455	0.478	1.8	2.3	0.806	0.5	2.1	2.6	1.6	0.6	0.2	0.9	1.8	9.2
Joe Johnson	14	23.6	3.5	8	0.436	1.4	3.3	0.411	2.1	4.7	0.454	0.521	0.8	1	0.818	0.4	2.7	3.1	1.8	0.5	0.2	0.9	1.2	9.2
Michael Kidd-Gilchrist	81	29	3.6	7.6	0.477	0	0.1	0.111	3.6	7.5	0.483	0.478	1.9	2.4	0.784	1.9	5	7	1.4	1	1	0.7	2.3	9.2
Jameer Nelson	39	27.3	3.6	8.1	0.444	1.4	3.6	0.388	2.2	4.4	0.489	0.531	0.6	0.8	0.714	0.4	2.2	2.6	5.1	0.7	0.1	1.7	2.6	9.2
Tony Allen	66	27	3.9	8.4	0.461	0.2	0.8	0.278	3.6	7.6	0.479	0.473	1.1	1.8	0.615	2.3	3.2	5.5	1.4	1.6	0.4	1.4	2.5	9.1
Channing Frye	15	18.9	3.2	7	0.458	1.9	4.5	0.409	1.4	2.5	0.546	0.589	0.9	1	0.851	0.5	3.4	3.9	0.6	0.4	0.5	0.7	1.9	9.1
Montrezl Harrell	14	18.3	3.9	5.9	0.652	0	0.1	0.143	3.9	5.8	0.663	0.654	1.3	2.1	0.628	1.4	2.4	3.8	1.1	0.3	0.7	0.8	2.2	9.1
Nene Hilario	8	17.9	3.7	5.9	0.617	0	0.1	0.333	3.6	5.8	0.624	0.621	1.7	2.9	0.589	1.4	2.8	4.2	1	0.8	0.6	1.1	2.4	9.1
Jodie Meeks	10	20.5	2.9	7.1	0.402	1.6	3.8	0.409	1.3	3.3	0.395	0.512	1.8	2.1	0.878	0.1	2	2.1	1.3	0.9	0.1	1	1.1	9.1
Dahntay Jones	0	12	3	8	0.375	0	2	0	3	6	0.5	0.375	3	4	0.75	1	1	2	1	0	0	1	1	9
Doug McDermott	5	22.8	3.4	7.5	0.447	1.2	3.2	0.37	2.2	4.4	0.502	0.524	1.1	1.3	0.845	0.3	2.4	2.7	0.9	0.2	0.1	0.6	1.2	9
Kelly Olynyk	6	20.5	3.5	6.8	0.512	0.9	2.6	0.354	2.6	4.2	0.608	0.579	1.2	1.6	0.732	1	3.8	4.8	2	0.6	0.4	1.3	2.8	9
Evan Turner	12	25.5	3.6	8.5	0.426	0.5	1.8	0.263	3.1	6.7	0.47	0.454	1.3	1.6	0.825	0.6	3.2	3.8	3.2	0.8	0.4	1.5	1.9	9
DeMarre Carroll	72	26.1	3.1	7.6	0.4	1.5	4.4	0.341	1.5	3.2	0.483	0.499	1.2	1.6	0.761	0.9	2.9	3.8	1	1.1	0.4	0.8	2	8.9
JaMychal Green	75	27.3	3.2	6.5	0.5	0.7	1.9	0.379	2.5	4.6	0.549	0.555	1.7	2.2	0.802	2.2	4.9	7.1	1.1	0.6	0.4	1.2	3.2	8.9
Skal Labissiere	12	18.5	3.5	6.6	0.537	0.1	0.2	0.375	3.5	6.4	0.543	0.544	1.6	2.2	0.703	1.5	3.4	4.9	0.8	0.5	0.4	1.1	1.9	8.8
Al-Farouq Aminu	25	29.1	3	7.6	0.393	1.1	3.5	0.33	1.9	4.2	0.445	0.468	1.6	2.2	0.706	1.3	6.1	7.4	1.6	1	0.7	1.5	1.7	8.7
Rondae Hollis-Jefferson	50	22.6	3	6.9	0.434	0.2	0.9	0.224	2.8	6.1	0.463	0.447	2.4	3.2	0.751	1.2	4.6	5.8	2	1.1	0.6	1.5	2.3	8.7
Nerlens Noel	19	20.5	3.6	6.1	0.595	0	0	0	3.6	6	0.597	0.595	1.5	2.2	0.694	1.8	3.9	5.8	1	1.3	1	1	2.5	8.7
Marreese Speights	2	15.7	3	6.7	0.445	1.3	3.4	0.372	1.7	3.3	0.52	0.539	1.5	1.7	0.876	1.1	3.5	4.5	0.8	0.3	0.5	0.8	2.8	8.7
J.R. Smith	35	29	3	8.7	0.346	2.3	6.6	0.351	0.7	2.1	0.329	0.479	0.2	0.4	0.667	0.4	2.3	2.8	1.5	1	0.3	0.6	1.9	8.6
Monta Ellis	33	27	3.3	7.5	0.443	0.6	1.8	0.319	2.8	5.7	0.483	0.482	1.3	1.7	0.727	0.3	2.5	2.8	3.2	1.1	0.4	1.8	2	8.5
Tony Snell	80	29.2	3.1	6.8	0.455	1.8	4.4	0.406	1.3	2.3	0.548	0.588	0.6	0.7	0.81	0.3	2.8	3.1	1.2	0.7	0.2	0.7	1.6	8.5
Arron Afflalo	45	25.9	3	6.9	0.44	1	2.5	0.411	2	4.4	0.457	0.514	1.4	1.5	0.892	0.1	1.9	2	1.3	0.3	0.1	0.7	1.7	8.4
Tyson Chandler	46	27.6	3.3	4.9	0.671	0	0		3.3	4.9	0.671	0.671	1.9	2.6	0.734	3.3	8.2	11.5	0.6	0.7	0.5	1.4	2.7	8.4
Norman Powell	18	18	3	6.7	0.449	0.7	2.3	0.324	2.3	4.4	0.514	0.504	1.7	2.1	0.792	0.3	1.9	2.2	1.1	0.7	0.2	0.9	1.7	8.4
Troy Daniels	3	17.7	2.8	7.4	0.374	2.1	5.3	0.389	0.7	2.1	0.336	0.513	0.6	0.8	0.796	0.3	1.2	1.5	0.7	0.3	0.1	0.7	1.3	8.2
Joe Harris	11	21.9	3	7	0.425	1.6	4.3	0.385	1.3	2.7	0.489	0.543	0.7	0.9	0.714	0.3	2.5	2.8	1	0.6	0.2	1.1	2.3	8.2
Willy Hernangomez	22	18.4	3.4	6.5	0.529	0.1	0.2	0.267	3.4	6.3	0.538	0.533	1.3	1.7	0.728	2.4	4.6	7	1.3	0.6	0.5	1.4	2.1	8.2
Caris LeVert	26	21.7	3	6.7	0.45	1	3.2	0.321	2	3.4	0.571	0.528	1.2	1.6	0.72	0.4	2.9	3.3	1.9	0.9	0.1	1	1.6	8.2
Shawn Long	0	13	3.4	6.1	0.56	0.4	1.1	0.368	3	5	0.6	0.592	1.1	1.9	0.543	2.3	2.4	4.7	0.7	0.5	0.5	0.7	2.7	8.2
Willie Cauley-Stein	21	18.9	3.4	6.4	0.53	0	0	0	3.4	6.4	0.532	0.53	1.3	2	0.669	1.1	3.4	4.5	1.1	0.7	0.6	0.9	2	8.1
Al Jefferson	1	14.1	3.6	7.1	0.499	0	0	0	3.6	7.1	0.5	0.499	1	1.3	0.765	1.1	3.1	4.2	0.9	0.3	0.2	0.5	1.9	8.1
Ben McLemore	26	19.3	3	6.9	0.43	1.1	2.8	0.382	1.9	4.1	0.462	0.507	1.1	1.5	0.753	0.3	1.8	2.1	0.8	0.5	0.1	1	1.8	8.1
Tristan Thompson	78	29.9	3.4	5.6	0.6	0	0	0	3.4	5.6	0.604	0.6	1.4	2.7	0.498	3.7	5.5	9.2	1	0.5	1.1	0.8	2.3	8.1
Vince Carter	15	24.6	2.6	6.7	0.394	1.5	4.1	0.378	1.1	2.7	0.418	0.508	1.2	1.6	0.765	0.5	2.6	3.1	1.8	0.8	0.5	0.7	2.2	8
Alex Len	34	20.3	3	6	0.497	0	0.2	0.25	2.9	5.9	0.503	0.5	1.9	2.7	0.721	2	4.6	6.6	0.6	0.5	1.3	1.3	3.1	8
D.J. Augustin	20	19.7	2.5	6.6	0.377	1.2	3.5	0.347	1.3	3.1	0.412	0.469	1.7	2.1	0.814	0.2	1.3	1.5	2.7	0.4	0	1.2	1.3	7.9
Langston Galloway	2	20.2	2.8	7.4	0.38	1.6	4.2	0.39	1.2	3.2	0.367	0.49	0.7	0.9	0.797	0.4	1.7	2.1	1.3	0.6	0.1	0.6	1.3	7.9
Shelvin Mack	9	21.9	3.1	6.9	0.446	0.7	2.2	0.308	2.4	4.7	0.51	0.495	1	1.4	0.688	0.4	1.9	2.3	2.8	0.8	0.1	1.6	1.8	7.8
Sergio Rodriguez	30	22.3	3.1	7.9	0.392	1.4	3.7	0.365	1.7	4.2	0.415	0.478	0.3	0.4	0.667	0.3	2	2.3	5.1	0.7	0.1	1.9	1.4	7.8
Rajon Rondo	42	26.7	3.3	8.1	0.408	0.7	1.9	0.376	2.6	6.2	0.418	0.453	0.4	0.7	0.6	1.1	4.1	5.1	6.7	1.4	0.2	2.4	2.1	7.8
Garrett Temple	21	26.6	2.8	6.6	0.424	1.3	3.4	0.373	1.6	3.3	0.476	0.519	0.9	1.1	0.784	0.5	2.3	2.8	2.6	1.3	0.4	1.2	2.2	7.8
Justin Holiday	4	20	2.8	6.6	0.433	1.2	3.3	0.355	1.7	3.2	0.513	0.523	0.8	1	0.825	0.3	2.4	2.7	1.2	0.8	0.4	0.8	1.3	7.7
Matthew Dellavedova	54	26.1	2.7	7	0.39	1	2.8	0.367	1.7	4.2	0.404	0.463	1.1	1.3	0.854	0.3	1.6	1.9	4.7	0.7	0	1.8	2	7.6
Luol Deng	49	26.5	2.9	7.6	0.387	0.9	2.9	0.309	2	4.6	0.436	0.447	0.8	1.1	0.73	1.1	4.1	5.3	1.3	0.9	0.4	0.8	1.1	7.6
Andre Iguodala	0	26.3	2.9	5.5	0.528	0.8	2.3	0.362	2	3.1	0.651	0.605	0.9	1.3	0.706	0.7	3.3	4	3.4	1	0.5	0.8	1.3	7.6
Manu Ginobili	0	18.7	2.5	6.4	0.39	1.3	3.3	0.392	1.2	3.1	0.387	0.491	1.2	1.6	0.804	0.4	1.9	2.3	2.7	1.2	0.2	1.4	1.7	7.5
Iman Shumpert	31	25.5	2.6	6.4	0.411	1.2	3.4	0.36	1.4	3	0.469	0.507	0.9	1.2	0.789	0.5	2.4	2.9	1.4	0.8	0.4	1	2	7.5
Ivica Zubac	11	16	3.3	6.3	0.529	0	0.1	0	3.3	6.2	0.536	0.529	0.8	1.3	0.653	1.1	3.1	4.2	0.8	0.4	0.9	0.8	1.7	7.5
Timofey Mozgov	52	20.4	3.1	6.1	0.515	0	0	0	3.1	6.1	0.517	0.515	1.2	1.4	0.808	1.9	3	4.9	0.8	0.3	0.6	1.3	2.5	7.4
Isaiah Whitehead	26	22.5	2.8	7	0.402	0.6	2	0.295	2.2	4.9	0.446	0.445	1.2	1.5	0.805	0.4	2.1	2.5	2.6	0.6	0.5	1.9	2.4	7.4
Alan Williams	0	15.1	2.9	5.7	0.517	0	0	0	2.9	5.7	0.519	0.517	1.5	2.4	0.625	2	4.2	6.2	0.5	0.6	0.7	0.8	2.7	7.4
Spencer Dinwiddie	18	22.6	2.3	5.1	0.444	0.6	1.7	0.376	1.6	3.4	0.478	0.507	2.1	2.7	0.792	0.5	2.3	2.8	3.1	0.7	0.4	1.1	2	7.3
Archie Goodwin	0	14.3	2.4	4.4	0.545	0.3	1	0.333	2.1	3.4	0.608	0.583	2.2	2.8	0.786	0.5	1.4	1.9	1.6	0.3	0.3	0.9	0.5	7.3
Danny Green	68	26.6	2.6	6.6	0.392	1.7	4.6	0.379	0.9	2	0.42	0.523	0.4	0.5	0.844	0.5	2.8	3.3	1.8	1	0.8	1.1	1.8	7.3
David Lee	10	18.7	3.1	5.3	0.59	0	0		3.1	5.3	0.59	0.59	1	1.4	0.708	1.9	3.7	5.6	1.6	0.4	0.5	1	1.6	7.3
Tyler Ulis	15	18.4	3	7.2	0.421	0.3	1.3	0.266	2.7	5.9	0.455	0.445	0.9	1.2	0.775	0.3	1.2	1.6	3.7	0.8	0.1	1.3	1.2	7.3
Thabo Sefolosha	42	25.7	2.8	6.4	0.441	0.7	1.9	0.342	2.1	4.4	0.484	0.492	0.9	1.2	0.733	0.9	3.5	4.4	1.7	1.5	0.5	0.9	1.6	7.2
Rodney Stuckey	0	17.8	2.3	6.3	0.373	0.5	1.5	0.317	1.8	4.7	0.391	0.412	2.1	2.7	0.748	0.2	2	2.2	2.2	0.4	0	1.4	1.1	7.2
Justin Anderson	10	16.4	2.5	5.9	0.424	0.8	2.6	0.299	1.7	3.3	0.522	0.49	1.4	1.7	0.791	0.9	2.3	3.3	0.9	0.5	0.3	0.9	1.5	7.1
Matt Barnes	18	24	2.5	6.4	0.391	1.2	3.6	0.331	1.3	2.8	0.467	0.483	0.9	1.2	0.787	0.9	4.2	5.2	2.6	0.6	0.4	1.4	2.5	7.1
Tim Frazier	35	23.5	2.5	6.2	0.403	0.6	2	0.313	1.9	4.2	0.446	0.453	1.5	2	0.76	0.5	2.1	2.7	5.2	0.9	0.1	1.6	2	7.1
Joe Ingles	26	24	2.5	5.5	0.452	1.5	3.4	0.441	1	2.1	0.471	0.589	0.6	0.8	0.735	0.3	2.9	3.2	2.7	1.2	0.1	1.3	2	7.1
Brandon Jennings	13	22.2	2.4	6.6	0.359	1	3.1	0.313	1.4	3.5	0.399	0.433	1.4	1.9	0.75	0.4	2.1	2.4	4.9	0.9	0	1.6	1.4	7.1
Larry Nance Jr.	7	22.9	3	5.7	0.526	0.2	0.6	0.278	2.9	5.2	0.554	0.54	0.9	1.3	0.738	1.9	4	5.9	1.5	1.3	0.6	0.9	2.4	7.1
Anthony Tolliver	9	22.7	2.4	5.4	0.442	1.4	3.5	0.391	1	1.9	0.537	0.57	0.9	1.3	0.744	0.8	2.9	3.6	1.2	0.5	0.3	0.9	1.7	7.1
Solomon Hill	71	29.7	2.3	6	0.383	1.2	3.4	0.348	1.1	2.6	0.428	0.481	1.3	1.6	0.805	0.6	3.2	3.8	1.8	0.9	0.4	1	2.3	7
Josh Huestis	0	15.5	3	5.5	0.545	1	2	0.5	2	3.5	0.571	0.636	0	0.5	0	2	2.5	4.5	1.5	0	1.5	0	0	7
Justin Hamilton	7	18.4	2.7	5.9	0.459	0.9	2.8	0.306	1.9	3.1	0.598	0.532	0.6	0.8	0.75	1.1	3	4.1	0.9	0.5	0.7	0.7	1.4	6.9
T.J. McConnell	51	26.3	2.9	6.3	0.461	0.1	0.7	0.2	2.8	5.6	0.492	0.472	0.9	1.1	0.811	0.5	2.6	3.1	6.6	1.7	0.1	2	1.7	6.9
Ian Clark	0	14.8	2.7	5.6	0.487	0.8	2.1	0.374	1.9	3.5	0.556	0.558	0.6	0.8	0.759	0.3	1.3	1.6	1.2	0.5	0.1	0.7	1	6.8
Jared Dudley	7	21.3	2.5	5.4	0.454	1.2	3.2	0.379	1.3	2.2	0.559	0.565	0.7	1	0.662	0.5	3	3.5	1.9	0.7	0.3	1.1	2.4	6.8
John Henson	39	19.4	2.7	5.3	0.515	0	0	0	2.7	5.3	0.516	0.515	1.3	1.8	0.692	1.6	3.5	5.1	1	0.5	1.3	0.9	2.6	6.8
Patrick Patterson	8	24.6	2.4	5.9	0.401	1.4	3.9	0.372	0.9	2	0.458	0.523	0.7	0.9	0.717	1	3.6	4.5	1.2	0.6	0.4	0.6	1.8	6.8
Bobby Portis	13	15.6	2.9	5.9	0.488	0.5	1.5	0.333	2.4	4.4	0.541	0.531	0.6	0.9	0.661	1.2	3.5	4.6	0.5	0.3	0.2	0.6	1.5	6.8
Lance Stephenson	0	20.1	3	6.7	0.45	0.3	1.1	0.3	2.7	5.6	0.48	0.475	0.4	0.7	0.615	0.2	2.7	2.9	3.3	0.3	0.2	1.4	1.8	6.8
Brandan Wright	5	16	3	4.8	0.615	0	0	0	3	4.8	0.619	0.615	0.8	1.3	0.657	1.1	1.7	2.8	0.5	0.4	0.7	0.4	1.5	6.8
Alec Burks	0	15.5	2.4	5.9	0.399	0.6	1.8	0.329	1.8	4.1	0.43	0.45	1.4	1.9	0.769	0.4	2.5	2.9	0.7	0.4	0.1	0.8	1.2	6.7
James Ennis	28	23.5	2.3	5	0.455	0.8	2.1	0.372	1.5	2.9	0.516	0.534	1.3	1.7	0.782	1.1	3	4	1	0.7	0.3	0.9	2.6	6.7
Raymond Felton	11	21.3	2.8	6.4	0.43	0.6	1.8	0.319	2.2	4.6	0.473	0.475	0.6	0.8	0.781	0.4	2.3	2.7	2.4	0.8	0.3	1	1.6	6.7
Devin Harris	0	16.7	2.1	5.2	0.399	0.9	2.7	0.328	1.2	2.5	0.476	0.484	1.6	2	0.829	0.2	1.8	2	2.1	0.7	0.1	0.9	1.6	6.7
Dwight Powell	3	17.3	2.5	4.9	0.515	0.3	1	0.284	2.2	3.9	0.571	0.542	1.4	1.8	0.759	1.2	2.8	4	0.6	0.8	0.5	0.4	1.8	6.7
P.J. Tucker	21	27.6	2.5	6	0.413	0.9	2.4	0.357	1.6	3.5	0.451	0.485	0.9	1.1	0.774	1.4	4.4	5.8	1.2	1.4	0.2	0.8	2.4	6.7
Jaylen Brown	20	17.2	2.5	5.4	0.454	0.6	1.7	0.341	1.9	3.7	0.507	0.508	1.1	1.6	0.685	0.6	2.2	2.8	0.8	0.4	0.2	0.9	1.8	6.6
Michael Carter-Williams	19	18.8	2.5	6.8	0.366	0.3	1.4	0.234	2.2	5.4	0.401	0.391	1.3	1.7	0.753	0.5	2.9	3.4	2.5	0.8	0.5	1.5	2.3	6.6
Dante Cunningham	35	25	2.6	5.4	0.485	1.1	2.7	0.392	1.6	2.7	0.579	0.584	0.2	0.4	0.593	0.8	3.3	4.2	0.6	0.6	0.4	0.4	1.5	6.6
Kosta Koufos	62	20	3	5.5	0.551	0	0	0	3	5.5	0.552	0.551	0.5	0.9	0.613	1.7	4	5.7	0.7	0.5	0.7	0.9	2.4	6.6
Andre Roberson	79	30.1	2.7	5.9	0.464	0.6	2.3	0.245	2.2	3.5	0.609	0.513	0.6	1.4	0.423	1.2	3.9	5.1	1	1.2	1	0.6	2.6	6.6
Marcus Thornton	1	17.4	2.5	6.4	0.4	0.8	2.4	0.35	1.7	3.9	0.431	0.467	0.7	0.8	0.852	0.7	1.6	2.3	1.2	0.6	0.1	0.8	1.5	6.6
Sam Dekker	2	18.4	2.6	5.6	0.473	0.8	2.4	0.321	1.9	3.1	0.591	0.543	0.5	0.9	0.559	1.2	2.5	3.7	1	0.5	0.3	0.5	1.1	6.5
Amir Johnson	77	20.1	2.7	4.6	0.576	0.3	0.8	0.409	2.3	3.8	0.612	0.612	0.8	1.3	0.67	1.5	3.1	4.6	1.8	0.6	0.8	1	2.6	6.5
Darrell Arthur	7	15.6	2.3	5.2	0.442	1.3	2.9	0.453	1	2.4	0.429	0.565	0.5	0.5	0.864	0.6	2.1	2.7	1	0.5	0.5	0.9	1.9	6.4
Timothe Luwawu-Cabarrot	19	17.2	2.1	5.2	0.402	0.7	2.3	0.311	1.4	2.9	0.475	0.471	1.5	1.8	0.854	0.4	1.8	2.2	1.1	0.5	0.1	1.1	2.2	6.4
Rodney McGruder	65	25.2	2.4	5.9	0.413	0.9	2.8	0.332	1.5	3.1	0.488	0.492	0.6	0.9	0.62	1.2	2.1	3.3	1.6	0.6	0.2	0.7	1.8	6.4
Mirza Teletovic	2	16.2	2.2	6	0.373	1.5	4.4	0.341	0.7	1.6	0.46	0.498	0.5	0.6	0.778	0.2	2.2	2.3	0.7	0.2	0.2	0.5	1.6	6.4
Leandro Barbosa	0	14.4	2.6	5.9	0.439	0.5	1.5	0.357	2	4.4	0.466	0.483	0.6	0.7	0.889	0.2	1.3	1.6	1.2	0.5	0.1	0.7	1.2	6.3
Mindaugas Kuzminskas	5	14.9	2.3	5.4	0.428	0.8	2.5	0.321	1.5	3	0.517	0.501	0.8	1	0.809	0.7	1.2	1.9	1	0.4	0.2	0.8	1.2	6.3
Kyle O'Quinn	8	15.6	2.7	5.2	0.521	0	0.2	0.118	2.7	5	0.538	0.523	0.8	1.1	0.771	2	3.6	5.6	1.5	0.5	1.3	1	2.2	6.3
Kelly Oubre	5	20.3	2.4	5.6	0.421	0.7	2.4	0.287	1.7	3.2	0.52	0.482	0.9	1.3	0.758	0.8	2.5	3.3	0.6	0.7	0.2	0.6	2.5	6.3
Nemanja Bjelica	1	18.3	2.3	5.5	0.424	0.9	2.7	0.316	1.5	2.8	0.531	0.503	0.7	0.9	0.738	0.9	2.9	3.8	1.2	0.6	0.3	0.9	2.4	6.2
Dante Exum	26	18.6	2.3	5.5	0.427	0.7	2.3	0.295	1.7	3.2	0.519	0.488	0.9	1.1	0.795	0.5	1.5	2	1.7	0.3	0.2	1.2	2.2	6.2
Jonathan Gibson	0	13.6	2.1	5.6	0.368	0.9	2.6	0.333	1.2	2.9	0.4	0.447	1.2	1.7	0.724	0.1	1.2	1.3	1.5	0.5	0	1.2	1.2	6.2
Spencer Hawes	1	14.8	2.5	5.1	0.484	0.5	1.5	0.309	2	3.6	0.556	0.529	0.8	1	0.846	0.7	2.8	3.5	1.5	0.3	0.6	0.9	1.4	6.2
Trey Lyles	4	16.3	2.2	6.2	0.362	0.9	2.9	0.319	1.3	3.3	0.4	0.436	0.8	1.1	0.722	0.7	2.6	3.3	1	0.4	0.3	0.9	1.4	6.2
Mike Muscala	3	17.7	2.4	4.8	0.504	0.7	1.6	0.418	1.8	3.2	0.546	0.573	0.7	0.9	0.766	1.1	2.3	3.4	1.4	0.4	0.6	0.8	1.4	6.2
Chandler Parsons	34	19.9	2.2	6.5	0.338	0.7	2.7	0.269	1.5	3.8	0.388	0.394	1	1.3	0.814	0.2	2.3	2.5	1.6	0.6	0.1	0.7	1.5	6.2
Ramon Sessions	1	16.2	2	5.3	0.38	0.4	1.2	0.339	1.6	4	0.393	0.42	1.8	2.4	0.771	0.2	1.2	1.5	2.6	0.5	0.1	0.9	0.9	6.2
Jonathon Simmons	8	17.8	2.3	5.4	0.42	0.4	1.3	0.294	1.9	4.1	0.461	0.456	1.3	1.7	0.75	0.3	1.8	2.1	1.6	0.6	0.3	1	1.9	6.2
Troy Williams	16	18.6	2.4	5.6	0.437	0.6	2.1	0.29	1.8	3.5	0.524	0.491	0.7	1.1	0.656	0.5	1.8	2.3	0.8	0.9	0.3	1.1	2	6.2
Luc Mbah a Moute	76	22.3	2.4	4.7	0.505	0.5	1.4	0.391	1.9	3.4	0.552	0.562	0.7	1.1	0.678	0.6	1.6	2.1	0.5	1	0.4	0.6	1.5	6.1
JaVale McGee	10	9.6	2.7	4.1	0.652	0	0	0	2.7	4.1	0.658	0.652	0.7	1.4	0.505	1.3	1.9	3.2	0.2	0.2	0.9	0.5	1.4	6.1
